,Education,Neuroticism (N-Score),Extroversion (E-Score),Openness (O-Score),Agreeableness (A-Score),Conscientiousness (C-Score),Impulsiveness (BIS-11),Sensation (SS),Alcohol,Amphetamines,Amyl nitrites,Benzos,Caffeine,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal Highs,LSD,Methamphetamine,Magic Mushrooms,Nicotine,Semer,Inhalants/Volatiles,Age_18-24,Age_25-34,Age_35-44,Age_45-54,Age_55-64,Age_65+,Gender_F,Gender_M,Country_Australia,Country_Canada,Country_Ireland,Country_New Zealand,Country_Other,Country_UK,Country_USA,Ethnicity_1.90725,Ethnicity_Asian,Ethnicity_Black,Ethnicity_Other,Ethnicity_White,Ethnicity_White-Asian,Ethnicity_White-Black
462,G,39,34.0,53,48,48,4,5,5,2,2,3,5,5,0,0,2,0,0,2,3,3,3,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
463,H,49,32.0,46,40,39,7,8,5,0,2,0,6,6,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
464,G,39,44.0,53,50,40,2,8,0,2,0,2,6,5,0,0,3,0,0,2,0,0,2,6,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
465,G,38,40.0,54,43,51,3,5,6,1,1,0,2,5,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
466,G,35,41.0,41,41,43,1,2,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
467,G,25,51.0,55,48,42,6,9,5,3,2,0,6,5,3,0,3,0,0,2,3,0,2,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
468,B,59,28.0,36,53,26,3,6,3,1,1,6,6,6,1,1,1,2,0,0,1,6,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
469,G,37,45.0,48,42,47,2,3,4,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
470,H,27,55.0,53,50,55,3,7,5,2,2,2,6,5,2,0,3,0,0,2,3,0,3,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
471,A,39,40.0,45,51,42,4,5,5,2,2,2,6,5,2,2,2,2,0,2,2,2,0,6,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
472,E,49,40.0,43,38,38,6,5,2,0,0,3,6,5,2,0,0,0,0,0,0,2,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
473,G,33,46.0,47,42,45,1,0,6,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
474,G,25,46.0,43,48,48,2,3,3,1,0,0,6,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
475,G,52,33.0,50,31,39,4,3,6,0,0,0,6,3,0,0,0,0,0,0,0,0,0,6,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
476,F,50,35.0,41,35,32,7,8,6,0,1,6,6,5,3,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
477,G,40,45.0,44,49,46,3,6,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
478,H,40,37.0,55,52,44,4,7,6,0,0,2,6,5,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
479,E,47,34.0,45,34,37,1,3,3,3,0,3,6,4,3,0,3,3,3,3,3,3,3,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
480,G,46,41.0,48,42,46,4,7,6,2,1,6,6,5,2,0,2,1,1,0,1,2,1,6,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
481,E,29,39.0,48,44,52,2,5,0,1,0,0,6,2,1,0,1,1,0,0,1,0,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
482,G,48,43.0,55,45,48,4,3,2,0,2,2,5,5,0,0,4,0,3,2,0,0,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
483,B,30,46.0,42,48,40,1,2,4,1,1,0,6,6,1,0,1,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
484,B,31,42.0,35,50,36,1,3,6,0,1,0,6,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
485,D,50,28.0,53,38,31,2,2,5,5,0,2,6,4,0,0,0,0,0,2,0,0,0,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
486,D,53,27.0,54,36,44,4,4,4,0,0,6,6,6,1,1,0,1,0,0,1,0,1,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
487,B,40,30.0,47,48,39,3,9,6,3,2,2,6,6,3,0,3,0,0,3,0,0,2,3,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
488,A,54,30.0,48,30,29,3,6,3,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
489,E,26,47.0,52,34,31,2,9,5,0,0,0,6,5,3,0,4,0,3,4,4,0,4,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
490,F,42,45.0,49,41,36,7,10,5,1,1,1,6,5,1,1,1,1,0,0,1,1,1,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
491,D,27,43.0,49,47,42,4,7,6,2,2,0,5,4,3,0,4,0,2,3,0,0,3,4,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
492,F,41,36.0,52,43,44,6,8,5,0,4,4,6,5,0,0,0,0,0,3,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
493,E,43,28.0,52,35,29,1,4,6,0,0,0,6,5,0,0,5,0,3,3,4,0,4,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
494,F,25,37.0,49,47,43,1,5,4,0,2,0,6,5,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
495,E,28,41.0,50,47,48,1,4,3,1,0,1,6,6,1,0,0,0,0,3,1,4,0,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
496,H,36,48.0,60,39,42,2,6,6,2,2,2,6,6,2,0,2,0,0,0,2,0,2,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
497,B,35,36.0,52,46,36,3,6,4,1,1,0,6,5,1,0,1,0,0,0,1,0,1,6,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
498,E,49,35.0,55,42,27,6,9,5,1,1,3,6,6,2,2,2,1,0,2,1,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
499,F,36,43.0,40,38,49,5,8,3,0,1,2,6,6,4,0,4,0,0,3,0,0,0,6,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
500,F,30,39.0,36,43,39,6,0,3,1,0,0,6,5,0,0,1,0,0,0,0,2,0,6,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
501,E,22,44.0,44,39,40,5,8,5,0,0,0,6,6,0,0,0,0,0,0,4,0,3,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
502,F,36,38.0,44,38,46,7,8,1,0,1,4,5,4,1,1,0,0,0,6,1,4,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
503,B,35,40.0,44,43,45,1,2,1,0,0,0,6,5,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
504,F,40,43.0,48,36,33,6,6,3,1,0,3,6,6,2,0,1,0,0,0,1,0,1,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
505,G,31,44.0,52,38,46,4,6,4,2,3,1,6,5,1,0,0,0,0,2,0,0,3,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
506,G,37,38.0,39,34,42,4,4,3,2,3,0,5,6,3,0,2,0,2,0,0,0,2,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
507,B,50,32.0,38,31,36,2,6,5,2,2,3,5,6,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
508,H,26,47.0,44,45,43,1,4,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
509,G,36,46.0,42,41,39,5,5,5,2,2,0,6,5,2,1,2,0,1,0,1,0,1,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
510,H,40,43.0,45,42,44,3,2,5,1,1,1,6,6,1,1,0,1,0,0,1,1,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
511,E,40,43.0,50,44,34,8,7,6,3,0,0,6,6,3,0,3,0,0,3,0,5,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
512,B,34,38.0,45,48,45,3,5,3,2,1,1,6,6,4,3,3,1,0,0,1,2,1,6,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
513,B,45,38.0,35,40,40,3,5,6,0,0,0,5,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
514,C,23,52.0,49,44,44,6,10,5,3,0,5,6,5,0,0,3,0,0,4,0,4,3,6,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
515,B,34,41.0,41,32,44,3,4,6,2,2,2,6,6,2,2,1,2,1,0,0,2,2,6,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
516,H,39,39.0,48,40,48,2,5,2,0,2,3,6,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
517,F,41,36.0,47,42,36,5,9,2,3,2,6,6,6,3,0,3,3,0,0,2,2,0,6,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
518,H,34,42.0,37,50,53,5,9,5,2,2,4,5,5,2,2,3,2,2,0,0,0,0,5,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
519,G,38,38.0,39,38,48,1,0,5,0,2,0,6,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
520,B,42,38.0,40,40,43,2,2,3,0,0,6,5,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
521,E,36,42.0,46,34,41,5,6,5,0,0,0,6,5,0,0,3,0,0,0,3,0,3,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
522,E,33,43.0,45,38,32,4,6,5,0,0,0,6,6,0,0,0,0,0,4,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
523,A,37,34.0,33,44,45,1,0,2,2,2,2,6,5,2,2,2,2,0,0,1,2,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
524,G,29,44.0,53,55,56,4,6,5,1,1,6,0,3,1,1,1,0,0,0,3,6,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
525,D,20,43.0,38,43,45,2,4,6,0,0,0,6,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
526,F,45,30.0,44,30,31,6,6,4,0,2,0,4,5,4,0,3,0,0,2,0,3,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
527,I,42,39.0,45,47,29,5,5,6,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
528,F,43,47.0,46,43,42,3,9,5,2,2,1,6,6,5,0,2,0,1,0,1,0,2,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
529,G,45,40.0,50,30,46,3,2,5,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
530,G,46,29.0,41,45,35,3,8,5,2,1,2,6,5,3,3,2,1,0,0,2,2,2,6,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
531,G,33,41.0,41,53,49,4,2,4,0,0,2,5,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
532,H,32,39.0,41,32,37,5,6,4,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
533,H,20,54.0,43,52,51,4,2,6,0,0,0,6,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
534,G,45,40.0,52,29,38,4,5,5,4,0,6,6,4,6,0,2,3,2,0,2,3,2,6,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
535,G,49,45.0,39,49,37,5,6,6,0,3,0,5,5,3,0,3,0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
536,E,43,38.0,37,48,35,1,1,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
537,G,47,38.0,46,47,46,4,7,6,0,0,0,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
538,H,24,48.0,45,47,53,0,2,6,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
539,G,26,42.0,45,37,43,1,1,5,0,0,2,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
540,G,38,45.0,46,48,45,4,6,4,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
541,C,43,45.0,52,35,34,4,9,6,1,1,5,6,5,2,0,2,1,2,4,1,0,1,6,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
542,G,44,44.0,39,38,44,3,5,6,0,0,0,5,5,2,0,2,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
543,B,48,36.0,41,38,34,7,5,5,0,2,0,6,5,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
544,F,51,41.0,43,47,36,2,5,5,0,0,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
545,E,27,37.0,52,59,42,1,2,2,2,0,2,6,6,2,2,0,0,0,0,1,2,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
546,H,20,35.0,39,40,54,1,3,5,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
547,G,48,37.0,47,44,28,5,2,4,0,0,0,6,6,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
548,H,25,47.0,47,39,41,3,3,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
549,G,34,37.0,36,48,50,1,4,6,0,0,0,6,5,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
550,H,28,48.0,47,36,49,3,9,4,2,1,0,6,5,3,0,3,0,3,3,3,0,3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
551,H,52,29.0,45,48,44,3,2,2,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
552,H,46,26.0,43,43,45,2,0,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
553,I,42,43.0,43,43,50,5,6,4,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
554,H,38,33.0,38,43,48,2,2,6,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
555,G,34,38.0,48,42,44,1,4,6,2,2,0,6,4,0,0,3,0,2,3,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
556,G,21,46.0,45,52,50,2,5,4,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
557,G,31,39.0,42,49,41,7,9,5,2,2,0,6,3,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
558,G,28,40.0,49,45,49,4,4,6,1,1,0,6,6,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
559,G,46,41.0,41,45,45,2,4,6,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
560,G,42,44.0,49,36,47,3,5,5,1,0,3,6,6,2,0,2,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
561,H,58,43.0,35,41,51,3,3,6,0,1,1,6,6,0,0,0,0,0,0,1,0,1,6,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
562,H,44,42.0,42,31,40,4,6,5,0,3,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
563,E,31,37.0,46,44,39,8,3,2,6,0,0,6,5,1,0,0,0,0,0,0,0,1,6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
564,H,39,34.0,47,47,36,2,3,5,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
565,G,45,47.0,39,49,46,1,2,5,2,2,2,5,6,0,0,2,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
566,G,53,44.0,54,37,38,3,6,6,0,2,0,6,6,2,0,0,0,0,2,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
567,H,46,34.0,45,41,42,3,5,1,0,0,0,1,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
568,I,32,45.0,45,37,56,2,4,6,0,0,0,6,5,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
569,F,38,47.0,38,31,39,5,8,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
570,H,21,52.0,45,50,53,4,8,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
571,F,48,31.0,34,36,37,8,6,6,1,1,1,6,6,1,0,1,0,0,0,1,0,0,6,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
572,E,27,46.0,49,39,39,5,5,5,0,0,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
573,G,55,29.0,33,47,28,2,1,6,1,0,0,5,6,1,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
574,B,20,45.0,35,40,49,3,6,5,0,0,0,3,5,0,0,0,0,0,0,0,0,2,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
575,H,44,42.0,47,47,48,2,4,4,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
576,G,46,45.0,41,51,41,2,5,4,0,0,0,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
577,H,46,39.0,48,50,51,1,1,6,1,0,2,4,6,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
578,H,34,45.0,50,44,47,3,5,5,0,2,0,6,6,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
579,E,25,40.0,38,43,27,8,5,6,1,1,1,6,6,2,0,1,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
580,E,27,50.0,49,41,37,6,8,6,0,4,0,6,6,0,0,5,0,4,2,0,0,2,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
581,F,39,48.0,56,41,48,5,6,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
582,E,42,40.0,42,46,39,3,9,5,0,0,3,6,6,0,0,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
583,G,33,41.0,44,35,47,7,7,2,0,2,0,3,6,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
584,F,43,36.0,54,36,40,5,7,2,0,0,0,6,5,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
585,E,39,42.0,44,48,28,4,8,5,5,2,4,6,6,0,0,0,0,0,3,3,0,3,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
586,B,31,50.0,49,49,43,3,6,5,3,1,3,6,6,1,0,1,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
587,E,24,39.0,48,37,45,5,6,2,1,0,1,6,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
588,A,30,40.0,42,39,46,3,7,3,3,2,1,6,5,2,0,2,1,0,0,1,1,0,6,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
589,G,40,37.0,44,32,52,3,3,6,0,0,1,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
590,F,14,46.0,47,46,54,2,5,5,0,0,0,6,6,2,3,2,0,0,3,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
591,F,35,46.0,46,47,46,4,8,5,0,3,0,6,5,3,0,0,0,0,4,0,0,2,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
592,B,32,36.0,42,35,37,7,8,5,2,3,4,6,5,2,0,3,0,2,3,2,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
593,F,39,41.0,43,34,45,3,8,6,1,1,2,6,4,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
594,B,23,45.0,51,49,48,5,9,5,2,0,0,5,5,3,0,4,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
595,F,32,37.0,44,38,46,6,9,1,1,1,2,6,5,1,1,0,0,0,6,1,3,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
596,F,36,41.0,42,46,44,3,4,5,1,0,2,6,6,1,0,0,0,0,2,1,0,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
597,E,41,39.0,48,43,35,5,7,4,0,2,0,5,6,0,0,0,0,0,2,0,0,3,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
